infrastructure_type_id,secondary_infrastructure_type_id,country_id,year_commenced,Primary topic,Secondary (if needed)
10 | Subsidiary,,54 | Germany,2016,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2016,4 | Biotech,
7 | Investment or joint venture,,101 | Israel,2016,4 | Biotech,
1 | R&D lab,5 | Overseas Office,228 | United States,2016,4 | Biotech,
10 | Subsidiary,,14 | Australia,2016,4 | Biotech,
3 | Research partnership,,228 | United States,2016,4 | Biotech,
3 | Research partnership,,14 | Australia,2016,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2016,,
7 | Investment or joint venture,,67 | Finland,2016,,
7 | Investment or joint venture,,228 | United States,2016,,
7 | Investment or joint venture,,228 | United States,2016,1 | Artificial Intelligence,
7 | Investment or joint venture,,228 | United States,2016,1 | Artificial Intelligence,
7 | Investment or joint venture,,194 | Sweden,2016,,
10 | Subsidiary,,213 | Thailand,2016,,
8 | Data centre,,54 | Germany,2016,,
8 | Data centre,,112 | Japan,2016,,
8 | Data centre,,14 | Australia,2016,,
7 | Investment or joint venture,,195 | Singapore,2016,,
7 | Investment or joint venture,,228 | United States,2016,,
7 | Investment or joint venture,,228 | United States,2016,,
1 | R&D lab,,228 | United States,2016,,
10 | Subsidiary,,103 | India,2016,,
5 | Overseas Office,,213 | Thailand,2016,,
15 | Telecommunications or ICT,,195 | Singapore,2016,,
7 | Investment or joint venture,,165 | Nepal,2016,,
15 | Telecommunications or ICT,,53 | Czech Republic,2016,,
7 | Investment or joint venture,9 | Commercial partnership,123 | Kazakhstan,2016,,
10 | Subsidiary,,29 | Brazil,2016,,
8 | Data centre,,93 | Hong Kong,2016,,
15 | Telecommunications or ICT,,45 | Cameroon,2016,5 | Chinese state loan,
10 | Subsidiary,,188 | Russia,2016,,
7 | Investment or joint venture,,228 | United States,2016,,
1 | R&D lab,,175 | Pakistan,2016,,
15 | Telecommunications or ICT,,99 | Indonesia,2016,,
15 | Telecommunications or ICT,17 | MoU-agreement,13 | Austria,2016,3 | 5G,
15 | Telecommunications or ICT,,108 | Italy,2016,,
15 | Telecommunications or ICT,,164 | Norway,2016,3 | 5G,
15 | Telecommunications or ICT,,66 | Ethiopia,2016,,
15 | Telecommunications or ICT,,188 | Russia,2016,,
17 | MoU-agreement,,86 | Greece,2016,,
15 | Telecommunications or ICT,,190 | Saudi Arabia,2016,,
15 | Telecommunications or ICT,,19 | Bangladesh,2016,,
15 | Telecommunications or ICT,,45 | Cameroon,2016,,
15 | Telecommunications or ICT,,226 | Uganda,2016,,
15 | Telecommunications or ICT,,154 | Mexico,2016,,
15 | Telecommunications or ICT,,65 | Spain,2016,3 | 5G,
15 | Telecommunications or ICT,,13 | Austria,2016,3 | 5G,
15 | Telecommunications or ICT,,20 | Belgium,2016,3 | 5G,
15 | Telecommunications or ICT,,194 | Sweden,2016,,
15 | Telecommunications or ICT,,108 | Italy,2016,,
15 | Telecommunications or ICT,,48 | Costa Rica,2016,,
15 | Telecommunications or ICT,,60 | Ecuador,2016,,
15 | Telecommunications or ICT,,206 | El Salvador,2016,,
15 | Telecommunications or ICT,,88 | Guatemala,2016,,
15 | Telecommunications or ICT,,162 | Nicaragua,2016,,
15 | Telecommunications or ICT,,170 | Panama,2016,,
15 | Telecommunications or ICT,,229 | Uruguay,2016,,
15 | Telecommunications or ICT,,19 | Bangladesh,2016,,
3 | Research partnership,17 | MoU-agreement,20 | Belgium,2016,,
8 | Data centre,,175 | Pakistan,2016,,
15 | Telecommunications or ICT,,139 | Madagascar,2016,,
1 | R&D lab,5 | Overseas Office,228 | United States,2016,1 | Artificial Intelligence,
5 | Overseas Office,,93 | Hong Kong,2016,,
5 | Overseas Office,,120 | South Korea,2016,,
9 | Commercial partnership,3 | Research partnership,54 | Germany,2016,,
9 | Commercial partnership,,228 | United States,2016,,
9 | Commercial partnership,,228 | United States,2016,,
3 | Research partnership,,228 | United States,2016,1 | Artificial Intelligence,
23 | Satellite calibration centre,,124 | Laos,2016,,
10 | Subsidiary,,36 | Canada,2016,6 | Surveillance,
10 | Subsidiary,,29 | Brazil,2016,6 | Surveillance,
10 | Subsidiary,,53 | Czech Republic,2016,6 | Surveillance,
10 | Subsidiary,,171 | Peru,2016,6 | Surveillance,
10 | Subsidiary,,29 | Brazil,2016,6 | Surveillance,
10 | Subsidiary,,176 | Poland,2016,6 | Surveillance,
11 | Smart cities,,29 | Brazil,2016,6 | Surveillance,
18 | Surveillance equipment,,217 | Turkmenistan,2016,6 | Surveillance,
7 | Investment or joint venture,,103 | India,2016,1 | Artificial Intelligence,
7 | Investment or joint venture,,99 | Indonesia,2016,1 | Artificial Intelligence,
10 | Subsidiary,,74 | United Kingdom,2016,,
11 | Smart cities,18 | Surveillance equipment,139 | Madagascar,2016,2 | Smart cities,6 | Surveillance
3 | Research partnership,,168 | New Zealand,2016,1 | Artificial Intelligence,
3 | Research partnership,,74 | United Kingdom,2017,,
1 | R&D lab,,2 | United Arab Emirates,2017,,
1 | R&D lab,,220 | Turkey,2017,,
1 | R&D lab,,62 | Egypt,2017,,
1 | R&D lab,,213 | Thailand,2017,,
1 | R&D lab,,243 | South Africa,2017,,
1 | R&D lab,,72 | France,2017,,
1 | R&D lab,,44 | Chile,2017,,
1 | R&D lab,,155 | Malaysia,2017,,
1 | R&D lab,,213 | Thailand,2017,,
11 | Smart cities,,72 | France,2017,2 | Smart cities,6 | Surveillance
11 | Smart cities,17 | MoU-agreement,155 | Malaysia,2017,2 | Smart cities,6 | Surveillance
11 | Smart cities,,161 | Nigeria,2017,2 | Smart cities,6 | Surveillance
12 | 5G,11 | Smart cities,220 | Turkey,2017,3 | 5G,2 | Smart cities
11 | Smart cities,3 | Research partnership,220 | Turkey,2017,2 | Smart cities,6 | Surveillance
15 | Telecommunications or ICT,,245 | Zimbabwe,2017,5 | Chinese state loan,
15 | Telecommunications or ICT,,244 | Zambia,2017,5 | Chinese state loan,
15 | Telecommunications or ICT,,24 | Burundi,2017,5 | Chinese state loan,
15 | Telecommunications or ICT,,50 | Cape Verde,2017,5 | Chinese state loan,
11 | Smart cities,17 | MoU-agreement,187 | Serbia,2017,2 | Smart cities,5 | Chinese state loan
5 | Overseas Office,,186 | Romania,2017,,
12 | 5G,,169 | Oman,2017,3 | 5G,
12 | 5G,,174 | Philippines,2017,3 | 5G,
15 | Telecommunications or ICT,,175 | Pakistan,2017,,
3 | Research partnership,5 | Overseas Office,113 | Kenya,2017,,
3 | Research partnership,1 | R&D lab,74 | United Kingdom,2017,3 | 5G,1 | Artificial Intelligence
3 | Research partnership,,100 | Ireland,2017,,
1 | R&D lab,,74 | United Kingdom,2017,,
1 | R&D lab,,74 | United Kingdom,2017,,
1 | R&D lab,,14 | Australia,2017,,
3 | Research partnership,,228 | United States,2017,,
3 | Research partnership,,228 | United States,2017,,
3 | Research partnership,,228 | United States,2017,,
3 | Research partnership,,228 | United States,2017,,
3 | Research partnership,,228 | United States,2017,,
3 | Research partnership,,228 | United States,2017,,
3 | Research partnership,,228 | United States,2017,,
3 | Research partnership,,228 | United States,2017,,
3 | Research partnership,,228 | United States,2017,,
17 | MoU-agreement,,79 | Ghana,2017,,
3 | Research partnership,,36 | Canada,2017,,
15 | Telecommunications or ICT,,233 | Venezuela,2017,,
15 | Telecommunications or ICT,13 | Cable Terrestrial,153 | Malawi,2017,,
12 | 5G,,13 | Austria,2017,3 | 5G,
12 | 5G,,220 | Turkey,2017,3 | 5G,
12 | 5G,,99 | Indonesia,2017,3 | 5G,
12 | 5G,,169 | Oman,2017,3 | 5G,
12 | 5G,,41 | Switzerland,2017,3 | 5G,
7 | Investment or joint venture,3 | Research partnership,36 | Canada,2017,3 | 5G,
7 | Investment or joint venture,,228 | United States,2017,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2017,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2017,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2017,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2017,4 | Biotech,
1 | R&D lab,,228 | United States,2017,4 | Biotech,
1 | R&D lab,,14 | Australia,2017,4 | Biotech,
3 | Research partnership,,36 | Canada,2017,4 | Biotech,
3 | Research partnership,,14 | Australia,2017,4 | Biotech,
3 | Research partnership,,74 | United Kingdom,2017,4 | Biotech,
3 | Research partnership,,93 | Hong Kong,2017,4 | Biotech,
1 | R&D lab,,36 | Canada,2017,,
1 | R&D lab,,228 | United States,2017,,
7 | Investment or joint venture,,228 | United States,2017,,
7 | Investment or joint venture,,103 | India,2017,,
7 | Investment or joint venture,,228 | United States,2017,,
7 | Investment or joint venture,,194 | Sweden,2017,,
7 | Investment or joint venture,,228 | United States,2017,,
7 | Investment or joint venture,,195 | Singapore,2017,,
7 | Investment or joint venture,,14 | Australia,2017,,
1 | R&D lab,,228 | United States,2017,1 | Artificial Intelligence,
1 | R&D lab,,101 | Israel,2017,1 | Artificial Intelligence,
1 | R&D lab,,228 | United States,2017,1 | Artificial Intelligence,
1 | R&D lab,,228 | United States,2017,1 | Artificial Intelligence,
5 | Overseas Office,,188 | Russia,2017,1 | Artificial Intelligence,
7 | Investment or joint venture,,155 | Malaysia,2017,,
7 | Investment or joint venture,,103 | India,2017,,
7 | Investment or joint venture,,195 | Singapore,2017,,
7 | Investment or joint venture,,189 | Rwanda,2017,,
7 | Investment or joint venture,,101 | Israel,2017,,
7 | Investment or joint venture,,99 | Indonesia,2017,,
5 | Overseas Office,,228 | United States,2017,,
7 | Investment or joint venture,,228 | United States,2017,,
10 | Subsidiary,,228 | United States,2017,1 | Artificial Intelligence,
3 | Research partnership,,228 | United States,2017,1 | Artificial Intelligence,
7 | Investment or joint venture,,29 | Brazil,2017,,
10 | Subsidiary,,72 | France,2017,3 | 5G,
10 | Subsidiary,,174 | Philippines,2017,,
10 | Subsidiary,,29 | Brazil,2017,,
7 | Investment or joint venture,,74 | United Kingdom,2017,,
8 | Data centre,,55 | Djibouti,2017,,
7 | Investment or joint venture,,29 | Brazil,2017,,
13 | Cable Terrestrial,,188 | Russia,2017,,
10 | Subsidiary,,29 | Brazil,2017,,
8 | Data centre,,120 | South Korea,2017,,
10 | Subsidiary,,41 | Switzerland,2017,,
15 | Telecommunications or ICT,,228 | United States,2017,,
15 | Telecommunications or ICT,,143 | Myanmar [Burma],2017,,
8 | Data centre,,55 | Djibouti,2017,,
15 | Telecommunications or ICT,,213 | Thailand,2017,,
15 | Telecommunications or ICT,17 | MoU-agreement,190 | Saudi Arabia,2017,,
15 | Telecommunications or ICT,,213 | Thailand,2017,,
15 | Telecommunications or ICT,,175 | Pakistan,2017,,
15 | Telecommunications or ICT,,143 | Myanmar [Burma],2017,,
12 | 5G,,230 | Uzbekistan,2017,3 | 5G,
15 | Telecommunications or ICT,,154 | Mexico,2017,,
15 | Telecommunications or ICT,,155 | Malaysia,2017,,
15 | Telecommunications or ICT,,59 | Algeria,2017,,
17 | MoU-agreement,12 | 5G,103 | India,2017,3 | 5G,
15 | Telecommunications or ICT,,19 | Bangladesh,2017,,
12 | 5G,,112 | Japan,2017,3 | 5G,
17 | MoU-agreement,15 | Telecommunications or ICT,103 | India,2017,3 | 5G,
17 | MoU-agreement,15 | Telecommunications or ICT,103 | India,2017,3 | 5G,
17 | MoU-agreement,15 | Telecommunications or ICT,103 | India,2017,3 | 5G,
15 | Telecommunications or ICT,,103 | India,2017,,
15 | Telecommunications or ICT,,36 | Canada,2017,,
15 | Telecommunications or ICT,17 | MoU-agreement,165 | Nepal,2017,,
15 | Telecommunications or ICT,,213 | Thailand,2017,,
15 | Telecommunications or ICT,,99 | Indonesia,2017,,
12 | 5G,17 | MoU-agreement,20 | Belgium,2017,3 | 5G,
15 | Telecommunications or ICT,,29 | Brazil,2017,,
17 | MoU-agreement,,54 | Germany,2017,,
15 | Telecommunications or ICT,,161 | Nigeria,2017,,
15 | Telecommunications or ICT,,19 | Bangladesh,2017,,
15 | Telecommunications or ICT,,163 | Netherlands,2017,,
15 | Telecommunications or ICT,17 | MoU-agreement,110 | Jamaica,2017,,
1 | R&D lab,17 | MoU-agreement,228 | United States,2017,,
17 | MoU-agreement,,220 | Turkey,2017,,
15 | Telecommunications or ICT,,233 | Venezuela,2017,,
15 | Telecommunications or ICT,,34 | Belarus,2017,,
1 | R&D lab,,34 | Belarus,2017,,
15 | Telecommunications or ICT,,175 | Pakistan,2017,,
15 | Telecommunications or ICT,,173 | Papua New Guinea,2017,,
3 | Research partnership,17 | MoU-agreement,74 | United Kingdom,2017,,
5 | Overseas Office,,14 | Australia,2017,,
1 | R&D lab,,29 | Brazil,2017,,
10 | Subsidiary,,155 | Malaysia,2017,,
10 | Subsidiary,,120 | South Korea,2017,,
15 | Telecommunications or ICT,,103 | India,2017,,
12 | 5G,,144 | Mongolia,2017,3 | 5G,
25 | Facial recognition,,195 | Singapore,2017,1 | Artificial Intelligence,6 | Surveillance
5 | Overseas Office,1 | R&D lab,195 | Singapore,2017,1 | Artificial Intelligence,
22 | Investor,,188 | Russia,2017,1 | Artificial Intelligence,
22 | Investor,,228 | United States,2017,1 | Artificial Intelligence,
15 | Telecommunications or ICT,,46 | China,2017,1 | Artificial Intelligence,
1 | R&D lab,3 | Research partnership,93 | Hong Kong,2017,1 | Artificial Intelligence,
10 | Subsidiary,1 | R&D lab,228 | United States,2017,1 | Artificial Intelligence,
25 | Facial recognition,,213 | Thailand,2017,1 | Artificial Intelligence,6 | Surveillance
25 | Facial recognition,11 | Smart cities,213 | Thailand,2017,1 | Artificial Intelligence,6 | Surveillance
9 | Commercial partnership,,228 | United States,2017,1 | Artificial Intelligence,
9 | Commercial partnership,18 | Surveillance equipment,152 | Maldives,2017,6 | Surveillance,
7 | Investment or joint venture,,194 | Sweden,2017,,
9 | Commercial partnership,,29 | Brazil,2017,,
17 | MoU-agreement,,163 | Netherlands,2017,,
9 | Commercial partnership,,36 | Canada,2017,,
9 | Commercial partnership,,36 | Canada,2017,,
9 | Commercial partnership,,36 | Canada,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,195 | Singapore,2017,1 | Artificial Intelligence,
1 | R&D lab,,228 | United States,2017,1 | Artificial Intelligence,
3 | Research partnership,1 | R&D lab,194 | Sweden,2017,,
1 | R&D lab,3 | Research partnership,155 | Malaysia,2017,,
23 | Satellite calibration centre,,128 | Sri Lanka,2017,,
7 | Investment or joint venture,,175 | Pakistan,2017,,
10 | Subsidiary,,22 | Bulgaria,2017,6 | Surveillance,
10 | Subsidiary,,155 | Malaysia,2017,6 | Surveillance,
10 | Subsidiary,,188 | Russia,2017,6 | Surveillance,
10 | Subsidiary,,103 | India,2017,6 | Surveillance,
10 | Subsidiary,,47 | Colombia,2017,6 | Surveillance,
10 | Subsidiary,,108 | Italy,2017,6 | Surveillance,
10 | Subsidiary,,74 | United Kingdom,2017,6 | Surveillance,
10 | Subsidiary,,187 | Serbia,2017,6 | Surveillance,
10 | Subsidiary,,54 | Germany,2017,6 | Surveillance,
10 | Subsidiary,,120 | South Korea,2017,6 | Surveillance,
10 | Subsidiary,,99 | Indonesia,2017,6 | Surveillance,
10 | Subsidiary,,220 | Turkey,2017,6 | Surveillance,
10 | Subsidiary,,11 | Argentina,2017,6 | Surveillance,
11 | Smart cities,,11 | Argentina,2017,6 | Surveillance,
11 | Smart cities,25 | Facial recognition,11 | Argentina,2017,6 | Surveillance,1 | Artificial Intelligence
18 | Surveillance equipment,,113 | Kenya,2017,6 | Surveillance,2 | Smart cities
18 | Surveillance equipment,,99 | Indonesia,2017,6 | Surveillance,2 | Smart cities
4 | Training,,72 | France,2017,,
1 | R&D lab,,112 | Japan,2017,1 | Artificial Intelligence,1 | Artificial Intelligence
11 | Smart cities,25 | Facial recognition,33 | Botswana,2017,2 | Smart cities,1 | Artificial Intelligence
11 | Smart cities,25 | Facial recognition,33 | Botswana,2017,2 | Smart cities,1 | Artificial Intelligence
9 | Commercial partnership,,228 | United States,2017,1 | Artificial Intelligence,
10 | Subsidiary,,72 | France,2017,1 | Artificial Intelligence,
7 | Investment or joint venture,,228 | United States,2017,,
9 | Commercial partnership,,228 | United States,2017,,
9 | Commercial partnership,,54 | Germany,2017,,
11 | Smart cities,,7 | Armenia,2017,2 | Smart cities,6 | Surveillance
11 | Smart cities,,225 | Ukraine,2017,2 | Smart cities,6 | Surveillance
4 | Training,,123 | Kazakhstan,2017,,
1 | R&D lab,,188 | Russia,2018,,
1 | R&D lab,,103 | India,2018,,
1 | R&D lab,,72 | France,2018,,
1 | R&D lab,,54 | Germany,2018,2 | Smart cities,
15 | Telecommunications or ICT,,173 | Papua New Guinea,2018,5 | Chinese state loan,
12 | 5G,17 | MoU-agreement,150 | Malta,2018,3 | 5G,
11 | Smart cities,17 | MoU-agreement,54 | Germany,2018,2 | Smart cities,6 | Surveillance
11 | Smart cities,17 | MoU-agreement,121 | Kuwait,2018,2 | Smart cities,6 | Surveillance
11 | Smart cities,17 | MoU-agreement,17 | Bosnia and Herzegovina,2018,2 | Smart cities,6 | Surveillance
15 | Telecommunications or ICT,,161 | Nigeria,2018,5 | Chinese state loan,
15 | Telecommunications or ICT,,9 | Angola,2018,,
3 | Research partnership,,161 | Nigeria,2018,,
15 | Telecommunications or ICT,,14 | Australia,2018,,
8 | Data centre,,23 | Bahrain,2018,,
15 | Telecommunications or ICT,,174 | Philippines,2018,,
11 | Smart cities,,151 | Mauritius,2018,2 | Smart cities,5 | Chinese state loan
15 | Telecommunications or ICT,3 | Research partnership,153 | Malawi,2018,,
17 | MoU-agreement,,155 | Malaysia,2018,,
17 | MoU-agreement,12 | 5G,155 | Malaysia,2018,3 | 5G,
17 | MoU-agreement,,155 | Malaysia,2018,,
3 | Research partnership,,161 | Nigeria,2018,,
17 | MoU-agreement,,218 | Tunisia,2018,,
3 | Research partnership,17 | MoU-agreement,200 | Sierra Leone,2018,,
11 | Smart cities,17 | MoU-agreement,169 | Oman,2018,2 | Smart cities,6 | Surveillance
15 | Telecommunications or ICT,,161 | Nigeria,2018,,
15 | Telecommunications or ICT,,225 | Ukraine,2018,,
12 | 5G,,108 | Italy,2018,3 | 5G,
12 | 5G,,108 | Italy,2018,3 | 5G,
12 | 5G,,41 | Switzerland,2018,3 | 5G,
12 | 5G,,29 | Brazil,2018,3 | 5G,
12 | 5G,,72 | France,2018,3 | 5G,
12 | 5G,,188 | Russia,2018,3 | 5G,
12 | 5G,,125 | Lebanon,2018,3 | 5G,
12 | 5G,,133 | Latvia,2018,3 | 5G,
12 | 5G,,181 | Portugal,2018,3 | 5G,
12 | 5G,,74 | United Kingdom,2018,3 | 5G,
11 | Smart cities,,59 | Algeria,2018,2 | Smart cities,6 | Surveillance
3 | Research partnership,,34 | Belarus,2018,,
1 | R&D lab,,101 | Israel,2018,4 | Biotech,
1 | R&D lab,,228 | United States,2018,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2018,4 | Biotech,
7 | Investment or joint venture,1 | R&D lab,100 | Ireland,2018,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2018,4 | Biotech,
3 | Research partnership,,54 | Germany,2018,4 | Biotech,
3 | Research partnership,,243 | South Africa,2018,4 | Biotech,
17 | MoU-agreement,,163 | Netherlands,2018,4 | Biotech,
1 | R&D lab,,2 | United Arab Emirates,2018,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2018,,
10 | Subsidiary,,168 | New Zealand,2018,,
1 | R&D lab,,195 | Singapore,2018,1 | Artificial Intelligence,
1 | R&D lab,,93 | Hong Kong,2018,1 | Artificial Intelligence,
8 | Data centre,,74 | United Kingdom,2018,,
17 | MoU-agreement,,14 | Australia,2018,,
7 | Investment or joint venture,,103 | India,2018,,
7 | Investment or joint venture,,101 | Israel,2018,1 | Artificial Intelligence,
7 | Investment or joint venture,,213 | Thailand,2018,,
7 | Investment or joint venture,,29 | Brazil,2018,,
7 | Investment or joint venture,,188 | Russia,2018,,
7 | Investment or joint venture,,175 | Pakistan,2018,,
7 | Investment or joint venture,,103 | India,2018,,
7 | Investment or joint venture,,228 | United States,2018,,
7 | Investment or joint venture,,103 | India,2018,,
7 | Investment or joint venture,,228 | United States,2018,4 | Biotech,1 | Artificial Intelligence
7 | Investment or joint venture,,228 | United States,2018,4 | Biotech,1 | Artificial Intelligence
3 | Research partnership,,112 | Japan,2018,1 | Artificial Intelligence,
7 | Investment or joint venture,,228 | United States,2018,1 | Artificial Intelligence,
10 | Subsidiary,,2 | United Arab Emirates,2018,1 | Artificial Intelligence,
10 | Subsidiary,,243 | South Africa,2018,3 | 5G,
8 | Data centre,,195 | Singapore,2018,,
10 | Subsidiary,12 | 5G,112 | Japan,2018,3 | 5G,
8 | Data centre,,2 | United Arab Emirates,2018,,
8 | Data centre,,2 | United Arab Emirates,2018,,
1 | R&D lab,12 | 5G,93 | Hong Kong,2018,3 | 5G,
13 | Cable Terrestrial,,143 | Myanmar [Burma],2018,,
13 | Cable Terrestrial,,114 | Kyrgyzstan,2018,,
13 | Cable Terrestrial,,165 | Nepal,2018,,
7 | Investment or joint venture,,112 | Japan,2018,,
7 | Investment or joint venture,,243 | South Africa,2018,3 | 5G,
7 | Investment or joint venture,,188 | Russia,2018,,
15 | Telecommunications or ICT,,74 | United Kingdom,2018,,
8 | Data centre,,243 | South Africa,2018,,
15 | Telecommunications or ICT,,151 | Mauritius,2018,,
3 | Research partnership,12 | 5G,67 | Finland,2018,3 | 5G,
8 | Data centre,,243 | South Africa,2018,,
8 | Data centre,,243 | South Africa,2018,,
5 | Overseas Office,,72 | France,2018,,
10 | Subsidiary,5 | Overseas Office,163 | Netherlands,2018,,
15 | Telecommunications or ICT,,72 | France,2018,,
3 | Research partnership,17 | MoU-agreement,228 | United States,2018,,
15 | Telecommunications or ICT,,123 | Kazakhstan,2018,,
9 | Commercial partnership,,108 | Italy,2018,,
3 | Research partnership,12 | 5G,228 | United States,2018,3 | 5G,
3 | Research partnership,,228 | United States,2018,3 | 5G,
12 | 5G,,243 | South Africa,2018,3 | 5G,
12 | 5G,,184 | Qatar,2018,3 | 5G,
11 | Smart cities,,233 | Venezuela,2018,6 | Surveillance,
12 | 5G,,74 | United Kingdom,2018,3 | 5G,
15 | Telecommunications or ICT,,225 | Ukraine,2018,,
15 | Telecommunications or ICT,,171 | Peru,2018,,
12 | 5G,17 | MoU-agreement,13 | Austria,2018,3 | 5G,
15 | Telecommunications or ICT,,197 | Slovenia,2018,,
17 | MoU-agreement,,225 | Ukraine,2018,,
15 | Telecommunications or ICT,,18 | Barbados,2018,,
15 | Telecommunications or ICT,,20 | Belgium,2018,,
15 | Telecommunications or ICT,,188 | Russia,2018,,
7 | Investment or joint venture,,123 | Kazakhstan,2018,,
15 | Telecommunications or ICT,,66 | Ethiopia,2018,,
3 | Research partnership,,54 | Germany,2018,,
11 | Smart cities,,106 | Iran,2018,6 | Surveillance,
3 | Research partnership,,188 | Russia,2018,3 | 5G,2 | Smart cities
11 | Smart cities,,114 | Kyrgyzstan,2018,2 | Smart cities,6 | Surveillance
11 | Smart cities,12 | 5G,220 | Turkey,2018,2 | Smart cities,3 | 5G
7 | Investment or joint venture,15 | Telecommunications or ICT,174 | Philippines,2018,3 | 5G,
11 | Smart cities,,123 | Kazakhstan,2018,2 | Smart cities,6 | Surveillance
12 | 5G,,230 | Uzbekistan,2018,3 | 5G,
10 | Subsidiary,,236 | Vietnam,2018,,
10 | Subsidiary,,115 | Cambodia,2018,,
25 | Facial recognition,11 | Smart cities,195 | Singapore,2018,2 | Smart cities,1 | Artificial Intelligence
25 | Facial recognition,18 | Surveillance equipment,195 | Singapore,2018,1 | Artificial Intelligence,6 | Surveillance
17 | MoU-agreement,4 | Training,195 | Singapore,2018,1 | Artificial Intelligence,
11 | Smart cities,25 | Facial recognition,155 | Malaysia,2018,1 | Artificial Intelligence,6 | Surveillance
5 | Overseas Office,,74 | United Kingdom,2018,1 | Artificial Intelligence,
9 | Commercial partnership,,195 | Singapore,2018,1 | Artificial Intelligence,
5 | Overseas Office,,2 | United Arab Emirates,2018,1 | Artificial Intelligence,
9 | Commercial partnership,,213 | Thailand,2018,1 | Artificial Intelligence,
17 | MoU-agreement,9 | Commercial partnership,228 | United States,2018,1 | Artificial Intelligence,
9 | Commercial partnership,25 | Facial recognition,223 | Taiwan,2018,1 | Artificial Intelligence,
9 | Commercial partnership,25 | Facial recognition,223 | Taiwan,2018,1 | Artificial Intelligence,
7 | Investment or joint venture,9 | Commercial partnership,228 | United States,2018,1 | Artificial Intelligence,
10 | Subsidiary,,93 | Hong Kong,2018,1 | Artificial Intelligence,
10 | Subsidiary,,234 | British Virgin Islands,2018,1 | Artificial Intelligence,
9 | Commercial partnership,,213 | Thailand,2018,1 | Artificial Intelligence,
11 | Smart cities,,213 | Thailand,2018,1 | Artificial Intelligence,6 | Surveillance
3 | Research partnership,,14 | Australia,2018,1 | Artificial Intelligence,
9 | Commercial partnership,25 | Facial recognition,228 | United States,2018,1 | Artificial Intelligence,6 | Surveillance
22 | Investor,,228 | United States,2018,1 | Artificial Intelligence,
22 | Investor,,228 | United States,2018,1 | Artificial Intelligence,
22 | Investor,,228 | United States,2018,1 | Artificial Intelligence,
9 | Commercial partnership,25 | Facial recognition,245 | Zimbabwe,2018,1 | Artificial Intelligence,6 | Surveillance
9 | Commercial partnership,,124 | Laos,2018,1 | Artificial Intelligence,
17 | MoU-agreement,9 | Commercial partnership,228 | United States,2018,1 | Artificial Intelligence,
9 | Commercial partnership,,41 | Switzerland,2018,,
9 | Commercial partnership,,228 | United States,2018,,
9 | Commercial partnership,,228 | United States,2018,,
9 | Commercial partnership,15 | Telecommunications or ICT,120 | South Korea,2018,,
17 | MoU-agreement,,228 | United States,2018,,
18 | Surveillance equipment,,228 | United States,2018,6 | Surveillance,
18 | Surveillance equipment,,228 | United States,2018,6 | Surveillance,
18 | Surveillance equipment,,228 | United States,2018,6 | Surveillance,
9 | Commercial partnership,,112 | Japan,2018,,
9 | Commercial partnership,,36 | Canada,2018,,
9 | Commercial partnership,,36 | Canada,2018,,
9 | Commercial partnership,,36 | Canada,2018,,
9 | Commercial partnership,,228 | United States,2018,,
9 | Commercial partnership,,228 | United States,2018,,
9 | Commercial partnership,,228 | United States,2018,,
9 | Commercial partnership,,54 | Germany,2018,1 | Artificial Intelligence,
9 | Commercial partnership,,54 | Germany,2018,1 | Artificial Intelligence,
9 | Commercial partnership,,54 | Germany,2018,1 | Artificial Intelligence,
9 | Commercial partnership,,112 | Japan,2018,1 | Artificial Intelligence,
9 | Commercial partnership,,228 | United States,2018,1 | Artificial Intelligence,
3 | Research partnership,,228 | United States,2018,1 | Artificial Intelligence,
9 | Commercial partnership,,228 | United States,2018,1 | Artificial Intelligence,
17 | MoU-agreement,,188 | Russia,2018,,
5 | Overseas Office,3 | Research partnership,218 | Tunisia,2018,,
